event_id,symbol,fiscal_year,bad_news_realized,late_disclosure_q75,postponed,revision_count,predicted_bad_news_risk,risk_bucket,actual_disclosure,event_trading_date,car_m1_p1,car_0_p5,car_1_p20,car_m5_m1
112,002315,2023,0,0,0,0,0.00376828381127353,bottom_20_risk,2024-02-23,2024-02-23,0.059121150265550426,0.14507990763465728,0.13300603574294956,0.15818999562878555
113,001299,2023,0,0,1,1,0.0058323389529524984,middle_60_risk,2024-04-25,2024-04-25,0.018734221072590374,0.035520541254912885,0.07070328436917717,0.042910980705521684
114,002115,2021,1,1,0,0,,not_test_year,2022-04-30,2022-05-05,0.04811170897944328,0.0419432356754329,0.038286460984380044,-0.07166693579533001
115,002536,2023,0,0,0,0,0.002165078137563655,bottom_20_risk,2024-04-12,2024-04-12,-0.08054012281061307,-0.04747437574893809,-0.13542455695880629,-0.003919457262042569
116,603121,2023,0,0,0,0,0.002532085545354506,bottom_20_risk,2024-04-25,2024-04-25,-0.017557666727265997,0.0122771060477751,-0.05423017437753441,0.13314756549039675
117,002629,2021,1,0,0,0,,not_test_year,2022-03-21,2022-03-21,0.10652849350070193,0.015046311531576984,0.04930338261173961,-0.010169225058133002
118,603556,2023,0,0,0,0,0.010080168515389561,middle_60_risk,2024-04-16,2024-04-16,0.15941855781564096,0.11986611434400596,0.06013350484137825,0.0947524144551567
119,001269,2023,0,1,0,0,0.0020215078287628167,bottom_20_risk,2024-04-27,2024-04-29,-0.09574577360764935,-0.10044327191479996,-0.1508253374443358,0.0597546209950468
120,603123,2023,1,1,0,0,0.9987383503759472,top_20_risk,2024-04-30,2024-04-30,0.0037478421144754304,-0.07535990710335172,-0.08951479131071671,0.08585523292038588
121,605001,2023,0,0,0,0,0.2787415165205226,middle_60_risk,2024-04-18,2024-04-18,0.29133901762758085,0.19608392714543743,-0.0030225202199534174,-0.08443203495513274
122,601838,2023,0,0,0,0,0.003983588247385301,bottom_20_risk,2024-04-25,2024-04-25,-0.026379479363345393,-0.0040994912429392905,0.05198272166719664,0.02462909639553912
123,603335,2023,1,0,0,1,0.9952623361349455,top_20_risk,2024-04-09,2024-04-09,0.11164906049152856,-0.05016796896050457,-0.15147492721734557,-0.022169853033697562
124,601231,2023,0,0,0,0,0.003627570566884958,bottom_20_risk,2024-04-02,2024-04-02,0.001557607506833536,-0.03674797860837142,0.050316048696608995,0.008376389436554721
125,600812,2023,0,0,0,0,0.16691139644740352,middle_60_risk,2024-03-30,2024-04-01,-0.004175858580131031,0.014193453760924069,0.08286503178471882,-0.018257852010335918
126,002623,2021,1,0,0,0,,not_test_year,2022-03-30,2022-03-30,-0.05167603403616128,-0.1258559212190522,-0.3158504317458748,-0.03619071283024311
127,600996,2023,1,1,0,0,0.9959043592437367,top_20_risk,2024-04-27,2024-04-29,0.0890747139947764,0.030117185812867597,0.018017636538935733,0.04217387295565389
128,002205,2023,1,1,1,1,0.9833125456014747,top_20_risk,2024-04-27,2024-04-29,0.038470950392812564,0.06336571879081532,-0.01715785424835825,0.03203247554469302
129,603927,2022,0,0,0,1,,not_test_year,2023-04-14,2023-04-14,0.03228064739187597,0.048725339091201025,-0.0783577211430202,0.01072079444457763
